name,main_category,category,price,min_price,max_price,tatemono_measure,min_tatemono_measure,max_tatemono_measure,tochi_measure,min_tochi_measure,max_tochi_measure,madori,main_madori,min_madori,max_madori,hikiwatashi,kanseijiki,floor,building,prefecture,city,adress,nearest_line,nearest_station,nearest_bus_station,bus_time,walk_time,url,latitude,longitude,year,month,date,chiku_nissu,chiku_nensu
上北沢第1コーポラス 2080万円（1LDK）,中古マンション,中古マンション,2080,2080,2080,39.96,39.96,39.96,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1969年7月,3,鉄骨8階建,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４-32-11,京王線,八幡山,,,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70879123/,35.6701583,139.6181554,1969,7,1969/7/1 0:00,19622,54
ニュー池尻マンション 2100万円（1K）,中古マンション,中古マンション,2100,2100,2100,26.97,26.97,26.97,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1971年7月,6,SRC13階建,東京都,世田谷区（69.7％）,東京都世田谷区池尻３,東急田園都市線,池尻大橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71574332/,35.6501422,139.679652,1971,7,1971/7/1 0:00,18892,52
ニュー池尻マンション 2100万円（1K）,中古マンション,中古マンション,2100,2100,2100,26.97,26.97,26.97,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1971年7月,6,SRC13階建,東京都,世田谷区（69.7％）,東京都世田谷区池尻３,東急田園都市線,池尻大橋,,,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71635795/,35.6501422,139.679652,1971,7,1971/7/1 0:00,18892,52
玉川グリーンハイツ 2150万円（1LDK）,中古マンション,中古マンション,2150,2150,2150,32.65,32.65,32.65,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1976年2月,2,鉄骨4階地下1階建一部鉄骨,東京都,世田谷区（69.7％）,東京都世田谷区玉川４,東急田園都市線,二子玉川,,,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70424633/,35.618707,139.6228959,1976,2,1976/2/1 0:00,17216,47
ライオンズガーデン千歳船橋 2180万円（1K）,中古マンション,中古マンション,2180,2180,2180,28.47,28.47,28.47,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1997年3月,3,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４,小田急線,千歳船橋,,,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71135867/,35.6404997,139.6228959,1997,3,1997/3/1 0:00,9517,26
烏山コーポビアネーズ 2180万円（1LDK）,中古マンション,中古マンション,2180,2180,2180,37.78,37.78,37.78,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1975年1月,4,SRC7階建,東京都,世田谷区（69.7％）,東京都世田谷区南烏山６-19-13,京王線,千歳烏山,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71061129/,35.6695337,139.5954541,1975,1,1975/1/1 0:00,17612,48
ドミール駒沢 2180万円（1LDK）,中古マンション,中古マンション,2180,2180,2180,34.5,34.5,34.5,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1980年5月,2,RC4階建,東京都,世田谷区（69.7％）,東京都世田谷区上馬４,東急田園都市線,駒沢大学,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71587305/,35.6363945,139.6611525,1980,5,1980/5/1 0:00,15665,43
ヴェノス経堂 2180万円（1DK）,中古マンション,中古マンション,2180,2180,2180,30.64,30.64,30.64,,,,1DK,1K/DK/LDK,1DK,1DK,相談,1982年4月,3,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区宮坂３,小田急線,経堂,,,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71211943/,35.6548078,139.6356453,1982,4,1982/4/1 0:00,14965,41
千歳船橋ビューグリーン  2190万円（1LDK）,中古マンション,中古マンション,2190,2190,2190,38.88,38.88,38.88,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1978年11月,5,RC7階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区船橋７,小田急線,千歳船橋,,,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71065686/,35.65794,139.6177969,1978,11,1978/11/1 0:00,16212,44
桜丘フラワーホーム 2199万円（1LDK）,中古マンション,中古マンション,2199,2199,2199,45.7,45.7,45.7,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1973年6月,2,RC4階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４-27-16,小田急線,千歳船橋,,,15,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71611963/,35.6379446,139.6219796,1973,6,1973/6/1 0:00,18191,50
ニューヴィラ三軒茶屋 2199万円（1DK）,中古マンション,中古マンション,2199,2199,2199,24.65,24.65,24.65,,,,1DK,1K/DK/LDK,1DK,1DK,即引渡可,1982年1月,4,RC6階建,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋１-33-16,東急田園都市線,三軒茶屋,,,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71197397/,35.6422365,139.671179,1982,1,1982/1/1 0:00,15055,41
ニューヴィラ三軒茶屋 2199万円（1DK）,中古マンション,中古マンション,2199,2199,2199,24.65,24.65,24.65,,,,1DK,1K/DK/LDK,1DK,1DK,相談,1982年1月,4,RC6階建,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋１,東急田園都市線,三軒茶屋,,,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98292317/,35.640498,139.6713584,1982,1,1982/1/1 0:00,15055,41
サカエ代田橋マンション 2230万円（1LDK）,中古マンション,中古マンション,2230,2230,2230,45.19,45.19,45.19,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1981年12月,3,RC4階建,東京都,世田谷区（69.7％）,東京都世田谷区大原２,京王線,代田橋,,,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71348321/,35.6697806,139.6586012,1981,12,1981/12/1 0:00,15086,41
三軒茶屋リリエンハイム 2280万円（1K）,中古マンション,中古マンション,2280,2280,2280,20.1,20.1,20.1,,,,1K,1K/DK/LDK,1K,1K,相談,1992年2月,9,SRC10階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区太子堂４-4-5,東急世田谷線,西太子堂,,,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71638653/,35.6432153,139.6675514,1992,2,1992/2/1 0:00,11372,31
ダイアパレス松原 2300万円（1DK）,中古マンション,中古マンション,2300,2300,2300,33.67,33.67,33.67,,,,1DK,1K/DK/LDK,1DK,1DK,相談,1978年11月,6,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区松原１,京王線,代田橋,,,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71355043/,35.667411,139.6541369,1978,11,1978/11/1 0:00,16212,44
野沢サマリヤマンション 2300万円（1LDK）,中古マンション,中古マンション,2300,2300,2300,42.12,42.12,42.12,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1972年7月,9,SRC13階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢２,東急田園都市線,駒沢大学,,,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98308488/,35.6336135,139.6713584,1972,7,1972/7/1 0:00,18526,51
ヴェノス経堂 2310万円（1LDK）,中古マンション,中古マンション,2310,2310,2310,30.64,30.64,30.64,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1982年4月,3,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区宮坂３,小田急線,経堂,,,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70796252/,35.6548078,139.6356453,1982,4,1982/4/1 0:00,14965,41
菱和パレス世田谷桜丘 2380万円（1K）,中古マンション,中古マンション,2380,2380,2380,31.67,31.67,31.67,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1991年3月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４-19-15,小田急線,千歳船橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71241233/,35.6425053,139.6210236,1991,3,1991/3/1 0:00,11709,32
菱和パレス世田谷桜丘 2380万円（1K）,中古マンション,中古マンション,2380,2380,2380,31.67,31.67,31.67,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1991年3月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４,小田急線,千歳船橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71280455/,35.6404997,139.6228959,1991,3,1991/3/1 0:00,11709,32
菱和パレス世田谷桜丘 2380万円（1K）,中古マンション,中古マンション,2380,2380,2380,31.67,31.67,31.67,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1991年3月,2,SRC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４-19-15,小田急線,千歳船橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71610611/,35.6425053,139.6210236,1991,3,1991/3/1 0:00,11709,32
千歳マンション 2380万円（1LDK）,中古マンション,中古マンション,2380,2380,2380,38.88,38.88,38.88,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1971年7月,5,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区南烏山３,京王線,千歳烏山,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70727428/,35.67166,139.6063258,1971,7,1971/7/1 0:00,18892,52
菱和パレス世田谷桜丘 2380万円（1K）,中古マンション,中古マンション,2380,2380,2380,31.67,31.67,31.67,,,,1K,1K/DK/LDK,1K,1K,即引渡可,1991年3月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４,小田急線,千歳船橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71418396/,35.6404997,139.6228959,1991,3,1991/3/1 0:00,11709,32
ステージファースト三軒茶屋アジールコートII 2450万円（1K）,中古マンション,中古マンション,2450,2450,2450,21.36,21.36,21.36,,,,1K,1K/DK/LDK,1K,1K,相談,2004年6月,3,RC12階建,東京都,世田谷区（69.7％）,東京都世田谷区上馬２,東急田園都市線,三軒茶屋,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70464816/,35.6379334,139.6649795,2004,6,2004/6/1 0:00,6868,19
エスカイア等々力 2480万円（1LDK）,中古マンション,中古マンション,2480,2480,2480,38.43,38.43,38.43,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1984年3月,1,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区等々力８,東急大井町線,等々力,,,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71360126/,35.6150799,139.6509483,1984,3,1984/3/1 0:00,14265,39
ライオンズマンション自由が丘 2480万円（1DK）,中古マンション,中古マンション,2480,2480,2480,34.79,34.79,34.79,,,,1DK,1K/DK/LDK,1DK,1DK,相談,1982年2月,1,RC3階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区等々力６,東急東横線,自由が丘,,,17,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70869553/,35.6117848,139.6598768,1982,2,1982/2/1 0:00,15024,41
笹塚マンション 2480万円（1LDK）,中古マンション,中古マンション,2480,2480,2480,32.44,32.44,32.44,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1969年11月,7,SRC8階建,東京都,世田谷区（69.7％）,東京都世田谷区北沢５,京王線,笹塚,,,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70897576/,35.6704452,139.6688067,1969,11,1969/11/1 0:00,19499,53
大洋奥沢マンション 2480万円（1LDK）,中古マンション,中古マンション,2480,2480,2480,29.79,29.79,29.79,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1973年10月,2,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区奥沢３,東急目黒線,奥沢,,,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70273778/,35.6013563,139.6739102,1973,10,1973/10/1 0:00,18069,49
菱和パレス世田谷桜丘 2480万円（1K）,中古マンション,中古マンション,2480,2480,2480,31.67,31.67,31.67,,,,1K,1K/DK/LDK,1K,1K,相談,1991年3月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区桜丘４,小田急線,千歳船橋,,,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71519315/,35.6404997,139.6228959,1991,3,1991/3/1 0:00,11709,32
大洋奥沢マンション 2480万円（1LDK）,中古マンション,中古マンション,2480,2480,2480,29.79,29.79,29.79,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1973年10月,2,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区奥沢３,東急目黒線,奥沢,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70320446/,35.6013563,139.6739102,1973,10,1973/10/1 0:00,18069,49
自由ヶ丘フラワーマンション 2490万円（1LDK）,中古マンション,中古マンション,2490,2490,2490,39.13,39.13,39.13,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1968年3月,6,RC7階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区等々力１,東急大井町線,等々力,,,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71652374/,35.6025786,139.6483975,1968,3,1968/3/1 0:00,20109,55
ダイヤハイツ三軒茶屋 2490万円（1DK）,中古マンション,中古マンション,2490,2490,2490,32.73,32.73,32.73,,,,1DK,1K/DK/LDK,1DK,1DK,相談,1983年2月,2,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,,,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71588195/,35.6413753,139.6649795,1983,2,1983/2/1 0:00,14659,40
光建ハイムブリリアンス世田谷等々力 2490万円（1LDK）,中古マンション,中古マンション,2490,2490,2490,40.29,40.29,40.29,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1985年9月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区等々力７,東急大井町線,尾山台,,,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71488828/,35.6148365,139.6560501,1985,9,1985/9/1 0:00,13716,38
ソレイユ玉川台 2580万円（1LDK）,中古マンション,中古マンション,2580,2580,2580,31.4,31.4,31.4,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1989年7月,2,RC3階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区玉川台１,東急田園都市線,用賀,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71232796/,35.6233257,139.6343703,1989,7,1989/7/1 0:00,12317,34
柿ノ木坂東豊エステート 2580万円（1LDK）,中古マンション,中古マンション,2580,2580,2580,34.8,34.8,34.8,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1970年9月,9,SRC13階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢３,東急東横線,学芸大学,,,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71557813/,35.630562,139.6751861,1970,9,1970/9/1 0:00,19195,53
ソレイユ玉川台 2580万円（1LDK）,中古マンション,中古マンション,2580,2580,2580,31.4,31.4,31.4,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1989年7月,2,RC3階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区玉川台１-1-3,東急田園都市線,用賀,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71611424/,35.6215196,139.6314417,1989,7,1989/7/1 0:00,12317,34
柿ノ木坂東豊エステート 2580万円（1LDK）,中古マンション,中古マンション,2580,2580,2580,34.8,34.8,34.8,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1969年9月,9,SRC13階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢３,東急東横線,学芸大学,,,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71349187/,35.630562,139.6751861,1969,9,1969/9/1 0:00,19560,54
自由が丘第三コーポ 2580万円（1K）,中古マンション,中古マンション,2580,2580,2580,27.2,27.2,27.2,,,,1K,1K/DK/LDK,1K,1K,相談,1966年1月,1,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区奥沢５,東急東横線,自由が丘,,,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71527023/,35.6047273,139.6694446,1966,1,1966/1/1 0:00,20899,57
祐天寺フラワーマンション 2588万円（1LDK）,中古マンション,中古マンション,2588,2588,2588,39.13,39.13,39.13,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1969年8月,2,RC8階建,東京都,世田谷区（69.7％）,東京都世田谷区下馬４,東急東横線,祐天寺,,,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70387753/,35.635543,139.679014,1969,8,1969/8/1 0:00,19591,54
ニュー上馬マンション 2648万円（1LDK）,中古マンション,中古マンション,2648,2648,2648,35,35,35,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1970年6月,6,RC6階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢４-23-14,東急田園都市線,駒沢大学,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71350648/,35.6344487,139.6654977,1970,6,1970/6/1 0:00,19287,53
ニュー上馬マンション 2648万円（1LDK）,中古マンション,中古マンション,2648,2648,2648,35,35,35,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1970年6月,6,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢４-23-14,東急田園都市線,駒沢大学,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71358314/,35.6344487,139.6654977,1970,6,1970/6/1 0:00,19287,53
ニュー上馬マンション 2648万円（1LDK）,中古マンション,中古マンション,2648,2648,2648,35,35,35,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1970年6月,6,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢４-23-14,東急田園都市線,駒沢大学,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71658078/,35.6344487,139.6654977,1970,6,1970/6/1 0:00,19287,53
ニュー上馬マンション 2648万円（1LDK）,中古マンション,中古マンション,2648,2648,2648,35,35,35,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1970年6月,6,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区野沢４,東急田園都市線,駒沢大学,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71516599/,35.6327094,139.6662552,1970,6,1970/6/1 0:00,19287,53
グリーンマンション駒沢 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,34.16,34.16,34.16,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1978年5月,3,SRC10階建,東京都,世田谷区（69.7％）,東京都世田谷区駒沢２-16-4,東急田園都市線,駒沢大学,,,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71014500/,35.6315937,139.6576844,1978,5,1978/5/1 0:00,16396,45
グリーンマンション駒沢 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,34.16,34.16,34.16,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1978年5月,3,SRC10階建,東京都,世田谷区（69.7％）,東京都世田谷区駒沢２,東急田園都市線,駒沢大学,,,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71048440/,35.6348555,139.6573257,1978,5,1978/5/1 0:00,16396,45
上馬フラワーホーム 2680万円（1DK）,中古マンション,中古マンション,2680,2680,2680,32.72,32.72,32.72,,,,1DK,1K/DK/LDK,1DK,1DK,即引渡可,1970年11月,5,RC8階建,東京都,世田谷区（69.7％）,東京都世田谷区上馬２,東急田園都市線,三軒茶屋,,,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98129317/,35.6379334,139.6649795,1970,11,1970/11/1 0:00,19134,52
成城コーポ 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,31.45,31.45,31.45,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1967年4月,7,SRC8階建,東京都,世田谷区（69.7％）,東京都世田谷区成城２-36-13,小田急線,成城学園前,,,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_96399799/,35.6400082,139.6009494,1967,4,1967/4/1 0:00,20444,56
グリーンマンション駒沢 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,34.16,34.16,34.16,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1978年5月,3,SRC10階建,東京都,世田谷区（69.7％）,東京都世田谷区駒沢２-16-4,東急田園都市線,駒沢大学,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71325968/,35.6315937,139.6576844,1978,5,1978/5/1 0:00,16396,45
グリーンマンション駒沢 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,34.16,34.16,34.16,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1978年5月,3,SRC10階建,東京都,世田谷区（69.7％）,東京都世田谷区駒沢２-16-4,東急田園都市線,駒沢大学,,,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71003472/,35.6315937,139.6576844,1978,5,1978/5/1 0:00,16396,45
上北沢ハイネスコーポ 2680万円（1LDK）,中古マンション,中古マンション,2680,2680,2680,32.4,32.4,32.4,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1970年3月,5,SRC12階建一部SRC,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４,京王線,上北沢,,,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71330220/,35.6696409,139.6219398,1970,3,1970/3/1 0:00,19379,53
千歳スカイマンション 2690万円（1LDK）,中古マンション,中古マンション,2690,2690,2690,42.36,42.36,42.36,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1974年11月,5,SRC8階建,東京都,世田谷区（69.7％）,東京都世田谷区千歳台１,小田急線,千歳船橋,,,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71212810/,35.6465934,139.6152476,1974,11,1974/11/1 0:00,17673,48
ステージファースト赤堤 2700万円（1K）,中古マンション,中古マンション,2700,2700,2700,25.84,25.84,25.84,,,,1K,1K/DK/LDK,1K,1K,相談,2002年10月,4,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区赤堤５,京王線,下高井戸,,,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71164951/,35.664495,139.6369204,2002,10,2002/10/1 0:00,7477,20
トゥールロワイヤルエルモア上北沢 2750万円（1DK）,中古マンション,中古マンション,2750,2750,2750,27.64,27.64,27.64,,,,1DK,1K/DK/LDK,1DK,1DK,相談,2003年7月,1,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４,京王線,上北沢,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71733533/,35.6696409,139.6219398,2003,7,2003/7/1 0:00,7204,20
トゥールロワイヤルエルモア上北沢 2750万円（1DK）,中古マンション,中古マンション,2750,2750,2750,27.64,27.64,27.64,,,,1DK,1K/DK/LDK,1DK,1DK,相談,2003年7月,1,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４-24-8,京王線,上北沢,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71529545/,35.6707458,139.6201472,2003,7,2003/7/1 0:00,7204,20
秀和奥沢レジデンス 2750万円（1LDK）,中古マンション,中古マンション,2750,2750,2750,35,35,35,,,,1LDK,1K/DK/LDK,1LDK,1LDK,相談,1968年12月,3,RC7階建,東京都,世田谷区（69.7％）,東京都世田谷区奥沢１,東急目黒線,奥沢,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71618174/,35.600916,139.6771,1968,12,1968/12/1 0:00,19834,54
トゥールロワイアルエルモア上北沢 2750万円（1DK）,中古マンション,中古マンション,2750,2750,2750,27.64,27.64,27.64,,,,1DK,1K/DK/LDK,1DK,1DK,相談,2003年7月,1,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４,京王線,上北沢,,,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71410038/,35.6696409,139.6219398,2003,7,2003/7/1 0:00,7204,20
祐天寺コーポラス 2780万円（1LDK+S（納戸））,中古マンション,中古マンション,2780,2780,2780,48.8,48.8,48.8,,,,1LDK+S（納戸）,1K/DK/LDK,1LDK+S（納戸）,1LDK+S（納戸）,即引渡可,1967年9月,4,鉄骨5階建,東京都,世田谷区（69.7％）,東京都世田谷区下馬４-29-5,東急東横線,祐天寺,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71492390/,35.6373301,139.6817655,1967,9,1967/9/1 0:00,20291,56
祐天寺コーポラス 2780万円（1LDK+S（納戸））,中古マンション,中古マンション,2780,2780,2780,48.8,48.8,48.8,,,,1LDK+S（納戸）,1K/DK/LDK,1LDK+S（納戸）,1LDK+S（納戸）,即引渡可,1967年9月,4,鉄骨5階建,東京都,世田谷区（69.7％）,東京都世田谷区下馬４,東急東横線,祐天寺,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71657518/,35.635543,139.679014,1967,9,1967/9/1 0:00,20291,56
祐天寺コーポラス 2780万円（1LDK+S（納戸））,中古マンション,中古マンション,2780,2780,2780,48.8,48.8,48.8,,,,1LDK+S（納戸）,1K/DK/LDK,1LDK+S（納戸）,1LDK+S（納戸）,即引渡可,1967年9月,4,鉄骨5階建,東京都,世田谷区（69.7％）,東京都世田谷区下馬４-29-5,東急東横線,祐天寺,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71493009/,35.6373301,139.6817655,1967,9,1967/9/1 0:00,20291,56
第2桜新町ヒミコマンション 2780万円（1LDK）,中古マンション,中古マンション,2780,2780,2780,38.64,38.64,38.64,,,,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1981年2月,1,RC4階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻３,東急田園都市線,桜新町,,,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71586503/,35.6371212,139.6458469,1981,2,1981/2/1 0:00,15389,42
トゥールロワイヤルエルモア上北沢 2780万円（1DK）,中古マンション,中古マンション,2780,2780,2780,27.64,27.64,27.64,,,,1DK,1K/DK/LDK,1DK,1DK,相談,2003年7月,1,RC5階建,東京都,世田谷区（69.7％）,東京都世田谷区上北沢４,京王線,上北沢,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71212139/,35.6696409,139.6219398,2003,7,2003/7/1 0:00,7204,20
祐天寺コーポラス 2780万円（1LDK+S（納戸））,中古マンション,中古マンション,2780,2780,2780,48.8,48.8,48.8,,,,1LDK+S（納戸）,1K/DK/LDK,1LDK+S（納戸）,1LDK+S（納戸）,即引渡可,1967年9月,4,鉄骨5階建,東京都,世田谷区（69.7％）,東京都世田谷区下馬４-29-5,東急東横線,祐天寺,,,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71708288/,35.6373301,139.6817655,1967,9,1967/9/1 0:00,20291,56
サンライズマンション弦巻 2790万円（1K）,中古マンション,中古マンション,2790,2790,2790,30.46,30.46,30.46,,,,1K,1K/DK/LDK,1K,1K,相談,1980年7月,2,RC3階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻４,東急田園都市線,桜新町,,,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70344658/,35.6347517,139.6413835,1980,7,1980/7/1 0:00,15604,43
